City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,bandar,2.05,99.75,73.17,94,100,2.95,ID,1623258129
159,sitka,57.0531,-135.33,57.2,68,26,4.43,US,1623257801
160,kemijarvi,66.7131,27.4306,67.51,44,91,7.05,FI,1623258129
161,port blair,11.6667,92.75,81.64,85,100,20.83,IN,1623257717
162,srivardhan,18.0333,73.0167,78.91,86,100,2.84,IN,1623258130
163,saint george,37.1041,-113.5841,87.8,16,1,3.0,US,1623257625
164,sidney,-33.8679,151.2073,46.71,84,0,4.0,AU,1623257913
165,hualmay,-11.0964,-77.6139,69.37,73,63,11.7,PE,1623257759
166,touros,-5.1989,-35.4608,83.3,63,69,17.18,BR,1623257591
167,dongli,23.5656,116.8194,77.97,89,95,4.29,CN,1623258130
168,nikolskoye,59.7035,30.7861,71.49,60,88,5.46,RU,1623257722
169,lutry,46.5024,6.6865,74.05,79,80,4.61,CH,1623258131
170,isangel,-19.55,169.2667,68.63,74,21,6.67,VU,1623257757
171,thunder bay,48.4001,-89.3168,76.98,53,25,9.33,CA,1623258131
172,gat,31.61,34.7642,85.41,43,0,5.48,IL,1623257581
173,dingle,10.9995,122.6711,77.63,87,100,1.88,PH,1623257742
174,portland,45.5234,-122.6762,62.62,64,75,1.99,US,1623257456
175,le port,-20.9373,55.2919,71.6,90,16,4.79,RE,1623258132
176,srednekolymsk,67.45,153.6833,40.44,72,96,20.78,RU,1623257809
177,atar,20.5169,-13.0499,114.57,6,14,16.37,MR,1623258132
178,aklavik,68.2191,-135.0107,59.83,50,75,8.05,CA,1623257709
179,yeniseysk,58.4497,92.1703,37.87,78,69,4.36,RU,1623258132
180,umm lajj,25.0213,37.2685,83.68,66,0,8.72,SA,1623258133
181,new norfolk,-42.7826,147.0587,49.91,79,100,4.0,AU,1623257686
182,menongue,-14.6585,17.691,64.47,32,16,4.81,AO,1623257792
183,verkhnyaya inta,65.9811,60.3094,52.93,59,99,7.85,RU,1623257752
184,thompson,55.7435,-97.8558,68.72,36,83,9.06,CA,1623257451
185,aden,12.7794,45.0367,89.98,60,39,4.7,YE,1623258133
186,sidhi,24.4167,81.8833,91.99,41,93,12.73,IN,1623258133
